frame,time_sec,bat_detected,ball_detected,impact_detected,impact_confidence
0,0.0,0,1,0,0.0
1,0.03,0,1,0,0.0
2,0.07,0,1,0,0.0
3,0.1,0,1,0,0.0
4,0.14,0,1,0,0.0
5,0.17,0,1,0,0.0
6,0.21,0,1,0,0.0
7,0.24,0,1,0,0.0
8,0.28,0,1,0,0.0
9,0.31,0,1,0,0.0
10,0.34,0,1,0,0.0
11,0.38,0,1,0,0.0
12,0.41,0,1,0,0.0
13,0.45,0,1,0,0.0
14,0.48,0,1,0,0.0
15,0.52,0,1,0,0.0
16,0.55,0,1,0,0.0
17,0.59,0,1,0,0.0
18,0.62,0,1,0,0.0
19,0.66,0,1,0,0.0
20,0.69,0,1,0,0.0
21,0.72,0,1,0,0.0
22,0.76,0,1,0,0.0
23,0.79,0,1,0,0.0
24,0.83,0,1,0,0.0
25,0.86,0,1,0,0.0
26,0.9,0,1,0,0.0
27,0.93,0,1,0,0.0
28,0.97,0,1,0,0.0
29,1.0,0,1,0,0.0
30,1.03,0,1,0,0.0
31,1.07,0,1,0,0.0
32,1.1,0,1,0,0.0
33,1.14,0,1,0,0.0
34,1.17,0,1,0,0.0
35,1.21,0,1,0,0.0
36,1.24,0,1,0,0.0
37,1.28,1,1,0,0.0
38,1.31,0,1,0,0.0
39,1.34,0,1,0,0.0
40,1.38,0,1,0,0.0
41,1.41,1,1,0,0.0
42,1.45,0,1,0,0.0
43,1.48,0,1,0,0.0
44,1.52,0,1,0,0.0
45,1.55,0,1,0,0.0
46,1.59,0,1,0,0.0
47,1.62,0,1,0,0.0
48,1.66,0,1,0,0.0
49,1.69,0,1,0,0.0
50,1.72,0,1,0,0.0
51,1.76,0,1,0,0.0
52,1.79,0,1,0,0.0
53,1.83,0,1,0,0.0
54,1.86,1,1,0,0.0
55,1.9,0,1,0,0.0
56,1.93,0,1,0,0.0
57,1.97,0,1,0,0.0
58,2.0,0,1,0,0.0
59,2.03,0,1,0,0.0
60,2.07,0,1,0,0.0
61,2.1,0,1,0,0.0
62,2.14,0,1,0,0.0
63,2.17,0,1,0,0.0
64,2.21,0,1,0,0.0
65,2.24,0,1,0,0.0
66,2.28,0,1,0,0.0
67,2.31,0,1,0,0.0
68,2.34,0,1,0,0.0
69,2.38,0,1,0,0.0
70,2.41,0,1,0,0.0
71,2.45,0,1,0,0.0
72,2.48,1,1,0,0.0
73,2.52,0,1,0,0.0
74,2.55,0,1,0,0.0
75,2.59,0,1,0,0.0
76,2.62,0,1,0,0.0
77,2.66,0,1,0,0.0
78,2.69,0,1,0,0.0
79,2.72,0,1,0,0.0
80,2.76,0,1,0,0.0
81,2.79,1,1,0,0.0
82,2.83,0,1,0,0.0
83,2.86,0,1,0,0.0
84,2.9,0,1,0,0.0
85,2.93,0,1,0,0.0
86,2.97,0,1,0,0.0
87,3.0,0,1,0,0.0
88,3.03,0,1,0,0.0
89,3.07,0,1,0,0.0
90,3.1,0,1,0,0.0
91,3.14,0,1,0,0.0
92,3.17,0,1,0,0.0
93,3.21,0,1,0,0.0
94,3.24,0,1,0,0.0
95,3.28,1,1,0,0.0
96,3.31,0,1,0,0.0
97,3.34,0,1,0,0.0
98,3.38,0,1,0,0.0
99,3.41,0,1,0,0.0
100,3.45,0,1,0,0.0
101,3.48,0,1,0,0.0
102,3.52,1,1,0,0.0
103,3.55,1,1,0,0.0
104,3.59,1,1,0,0.0
105,3.62,1,1,0,0.0
106,3.66,1,1,0,0.0
107,3.69,1,1,0,0.0
108,3.72,1,1,0,0.0
109,3.76,0,1,0,0.0
110,3.79,0,1,0,0.0
111,3.83,0,1,0,0.0
112,3.86,1,1,0,0.0
113,3.9,0,1,0,0.0
114,3.93,0,1,0,0.0
115,3.97,0,1,0,0.0
116,4.0,0,1,0,0.0
117,4.03,1,1,0,0.0
118,4.07,1,1,0,0.0
119,4.1,1,1,0,0.0
120,4.14,1,1,0,0.0
121,4.17,1,1,0,0.0
122,4.21,1,1,0,0.0
123,4.24,1,1,0,0.0
124,4.28,1,1,0,0.0
125,4.31,1,1,0,0.0
126,4.34,1,1,0,0.0
127,4.38,1,1,0,0.0
128,4.41,1,1,0,0.0
129,4.45,1,1,0,0.0
130,4.48,1,1,0,0.0
131,4.52,0,1,0,0.0
132,4.55,0,1,0,0.0
133,4.59,0,1,0,0.0
134,4.62,0,1,0,0.0
135,4.66,0,1,0,0.0
136,4.69,0,1,0,0.0
137,4.72,0,1,0,0.0
138,4.76,0,1,0,0.0
139,4.79,0,1,0,0.0
140,4.83,0,1,0,0.0
141,4.86,0,1,0,0.0
142,4.9,0,1,0,0.0
143,4.93,0,1,0,0.0
144,4.97,0,1,0,0.0
145,5.0,0,1,0,0.0
146,5.03,0,1,0,0.0
147,5.07,0,1,0,0.0
148,5.1,0,1,0,0.0
149,5.14,0,1,0,0.0
150,5.17,0,1,0,0.0
151,5.21,0,1,0,0.0
152,5.24,0,1,0,0.0
153,5.28,0,1,0,0.0
154,5.31,0,1,0,0.0
155,5.34,1,1,0,0.0
156,5.38,0,1,0,0.0
157,5.41,0,1,0,0.0
